artista,genero,bpm,duracion_seg,clave_musical,modo,instrumental,con_voz,colaboracion,artista_colaborador,fecha_lanzamiento,año,mes,dia_semana,estacion,tipo_lanzamiento,calidad_intrinseca,popularidad,categoria_popularidad,exito,hit_viral
Imagine Dragons,Electrónica,128,246,3,0,0,1,0,,2017-08-19,2017,8,5,Verano,Single,55,52.19,Media,1,0
Tini,Reggaeton,95,211,6,1,0,1,0,,2017-08-23,2017,8,2,Verano,Single,46,68.62,Media,1,0
Young Thug,Alternativo,97,144,10,0,0,1,0,,2017-08-25,2017,8,4,Verano,Single,69,60.93,Media,1,0
Peso Pluma,Country,110,193,4,0,1,0,0,,2017-08-26,2017,8,5,Verano,Single,84,58.57,Media,1,0
Paulo Londra,Hip Hop,152,239,2,0,0,1,0,,2017-08-28,2017,8,0,Verano,Album,77,70.29,Alta,1,0
Feid,Trap,108,209,3,0,0,1,1,Karol G,2017-08-29,2017,8,1,Verano,Single,38,48.59,Media,0,0
Eminem,Lofi,123,238,4,0,0,1,0,,2017-08-31,2017,8,3,Verano,Single,73,60.98,Media,1,0
Maroon 5,Rap,114,179,0,1,0,1,0,,2017-09-02,2017,9,5,Otoño,Single,45,57.45,Media,1,0
Miley Cyrus,Drill,123,183,10,1,0,1,0,,2017-09-02,2017,9,5,Otoño,Album,62,60.21,Media,1,0
Sam Smith,Trap,89,229,3,0,0,1,0,,2017-09-03,2017,9,6,Otoño,Album,38,41.53,Media,0,0
Olivia Rodrigo,Reggaeton,100,262,4,1,1,0,0,,2017-09-04,2017,9,0,Otoño,Single,64,60.64,Media,1,0
The Kid LAROI,Urbano,117,196,4,1,1,0,0,,2017-09-05,2017,9,1,Otoño,Single,64,40.11,Media,0,0
Shakira,Blues,100,210,2,1,0,1,0,,2017-09-08,2017,9,4,Otoño,Album,70,51.24,Media,1,0
Young Thug,Alternativo,111,145,8,1,0,1,0,,2017-09-08,2017,9,4,Otoño,Single,40,45.11,Media,0,0
Nicky Jam,Rap,161,158,6,0,0,1,0,,2017-09-12,2017,9,1,Otoño,Album,58,38.32,Media,0,0
David Guetta,Country,118,241,8,0,0,1,0,,2017-09-13,2017,9,2,Otoño,Album,55,51.15,Media,1,0
Halsey,Synthwave,107,211,8,1,0,1,0,,2017-09-13,2017,9,2,Otoño,Album,41,45.29,Media,0,0
Megan Thee Stallion,House,135,167,5,1,0,1,0,,2017-09-13,2017,9,2,Otoño,Single,31,42.41,Media,0,0
Anuel AA,Jazz,91,151,9,0,0,1,0,,2017-09-14,2017,9,3,Otoño,Album,54,43.57,Media,0,0
Cardi B,Lofi,119,171,2,0,1,0,0,,2017-09-15,2017,9,4,Otoño,Single,81,55.8,Media,1,0
Olivia Rodrigo,Reggaeton,102,237,5,1,1,0,1,Tini,2017-09-16,2017,9,5,Otoño,Single,86,81.45,Alta,1,0
Kendrick Lamar,Indie,150,202,2,0,0,1,0,,2017-09-19,2017,9,1,Otoño,Single,76,47.91,Media,0,0
Bruno Mars,Tropical,86,191,6,1,0,1,0,,2017-09-22,2017,9,4,Otoño,Single,42,48.79,Media,0,0
Maroon 5,Pop,132,245,0,1,0,1,0,,2017-09-25,2017,9,0,Otoño,Single,30,38.65,Media,0,0
Drake,Metal,85,232,2,0,0,1,0,,2017-10-06,2017,10,4,Otoño,Single,61,43.19,Media,0,0
Dua Lipa,Reggaeton,103,171,3,1,0,1,0,,2017-10-06,2017,10,4,Otoño,Album,74,61.44,Media,1,0
Eminem,Lofi,122,176,2,1,0,1,0,,2017-10-06,2017,10,4,Otoño,Album,83,40.04,Media,0,0
Camila Cabello,Pop Latino,113,237,6,0,0,1,0,,2017-10-07,2017,10,5,Otoño,Single,55,39.41,Media,0,0
Calvin Harris,Pop,125,157,4,1,0,1,1,Daddy Yankee,2017-10-08,2017,10,6,Otoño,Single,40,59.97,Media,1,0
Halsey,Synthwave,111,244,9,1,0,1,0,,2017-10-08,2017,10,6,Otoño,Single,78,49.36,Media,0,0
Taylor Swift,Flamenco,92,167,5,0,0,1,1,Sam Smith,2017-10-10,2017,10,1,Otoño,Single,44,57.88,Media,1,0
Myke Towers,Flamenco,121,256,1,0,0,1,1,David Guetta,2017-10-14,2017,10,5,Otoño,Album,70,47.68,Media,0,0
Bruno Mars,Tropical,90,239,8,1,0,1,1,Lil Nas X,2017-10-19,2017,10,3,Otoño,Single,40,100.0,Alta,1,1
Coldplay,Trap,140,245,10,0,0,1,1,Sam Smith,2017-10-21,2017,10,5,Otoño,Single,85,83.31,Alta,1,0
Doja Cat,Flamenco,116,150,3,1,0,1,0,,2017-10-24,2017,10,1,Otoño,Single,65,37.89,Media,0,0
Lil Baby,Reggaeton,101,238,0,1,0,1,0,,2017-10-24,2017,10,1,Otoño,Single,51,53.14,Media,1,0
Ozuna,K-Pop,114,258,1,0,0,1,0,,2017-10-24,2017,10,1,Otoño,Single,74,49.58,Media,0,0
Kanye West,Clásica,96,152,1,1,0,1,1,Shawn Mendes,2017-10-25,2017,10,2,Otoño,Single,45,33.13,Media,0,0
Ariana Grande,Experimental,134,227,5,0,0,1,0,,2017-10-31,2017,10,1,Otoño,Single,53,41.42,Media,0,0
DaBaby,Synthwave,117,184,0,0,1,0,1,Bad Bunny,2017-11-02,2017,11,3,Otoño,Single,87,43.73,Media,0,0
Harry Styles,Funk,122,192,5,0,0,1,0,,2017-11-02,2017,11,3,Otoño,Album,83,85.19,Alta,1,1
Lil Uzi Vert,Indie,80,209,0,1,0,1,0,,2017-11-03,2017,11,4,Otoño,Single,60,42.07,Media,0,0
SZA,Reggaeton,98,191,8,1,0,1,1,Tini,2017-11-04,2017,11,5,Otoño,Album,63,86.97,Alta,1,1
The Kid LAROI,Folk,97,211,4,1,0,1,0,,2017-11-07,2017,11,1,Otoño,Single,53,31.19,Media,0,0
J Balvin,Techno,156,207,8,0,1,0,0,,2017-11-09,2017,11,3,Otoño,Single,81,47.03,Media,0,0
Bad Bunny,Reggaeton,98,211,8,1,0,1,1,Olivia Rodrigo,2017-11-11,2017,11,5,Otoño,Single,90,85.09,Alta,1,0
Rauw Alejandro,Experimental,109,213,10,1,1,0,1,Maroon 5,2017-11-11,2017,11,5,Otoño,Album,59,62.43,Media,1,0
Lil Nas X,Urbano,81,230,8,1,0,1,0,,2017-11-12,2017,11,6,Otoño,Single,90,61.69,Media,1,0
Travis Scott,R&B,95,276,2,1,0,1,0,,2017-11-14,2017,11,1,Otoño,Album,89,54.33,Media,1,0
Zara Larsson,R&B,84,191,2,1,0,1,0,,2017-11-14,2017,11,1,Otoño,Single,48,39.9,Media,0,0
Daddy Yankee,Folk,127,228,0,0,0,1,1,Sebastian Yatra,2017-11-15,2017,11,2,Otoño,Album,34,52.25,Media,1,0
Anitta,Punk,107,211,4,1,0,1,0,,2017-11-17,2017,11,4,Otoño,Album,71,57.67,Media,1,0
Martin Garrix,Rock,89,180,2,0,0,1,0,,2017-11-19,2017,11,6,Otoño,Album,62,51.22,Media,1,0
Shakira,Blues,127,225,2,1,0,1,1,Lil Nas X,2017-11-19,2017,11,6,Otoño,Single,74,64.07,Media,1,0
Rihanna,Country,95,185,9,0,0,1,1,Imagine Dragons,2017-11-21,2017,11,1,Otoño,Single,44,25.95,Baja,0,0
Coldplay,Trap,96,257,6,0,1,0,0,,2017-11-22,2017,11,2,Otoño,Single,50,57.65,Media,1,0
J Balvin,Pop,153,202,8,1,0,1,0,,2017-11-24,2017,11,4,Otoño,Album,39,37.04,Media,0,0
Katy Perry,R&B,124,220,6,1,0,1,0,,2017-11-26,2017,11,6,Otoño,Single,51,46.51,Media,0,0
Billie Eilish,Country,84,211,11,1,0,1,0,,2017-11-29,2017,11,2,Otoño,Single,70,49.84,Media,0,0
María Becerra,Flamenco,89,200,2,1,0,1,0,,2017-11-30,2017,11,3,Otoño,Album,38,33.15,Media,0,0
Tini,K-Pop,105,190,1,0,0,1,1,Juice WRLD,2017-12-01,2017,12,4,Invierno,Album,64,71.16,Alta,1,0
Wisin & Yandel,R&B,80,236,5,0,0,1,1,Ozuna,2017-12-02,2017,12,5,Invierno,Album,70,63.84,Media,1,0
Twenty One Pilots,Jazz,99,170,8,1,0,1,0,,2017-12-05,2017,12,1,Invierno,Single,57,52.92,Media,1,0
Alan Walker,Trap,73,191,8,1,0,1,0,,2017-12-09,2017,12,5,Invierno,Single,76,55.84,Media,1,0
BTS,Clásica,121,217,11,1,0,1,0,,2017-12-15,2017,12,4,Invierno,Single,38,37.79,Media,0,0
Kendrick Lamar,Indie,123,207,0,1,0,1,1,Justin Bieber,2017-12-15,2017,12,4,Invierno,Album,79,56.02,Media,1,0
Eminem,Funk,86,261,5,1,0,1,0,,2017-12-16,2017,12,5,Invierno,Single,68,36.91,Media,0,0
Rosalía,Disco,117,223,0,0,0,1,0,,2017-12-16,2017,12,5,Invierno,Album,52,46.29,Media,0,0
Adele,Tropical,105,179,0,0,0,1,0,,2017-12-17,2017,12,6,Invierno,Single,48,55.33,Media,1,0
Coldplay,Trap,104,235,0,1,0,1,0,,2017-12-18,2017,12,0,Invierno,Single,30,50.41,Media,1,0
Calvin Harris,Dance,103,154,6,0,0,1,0,,2017-12-19,2017,12,1,Invierno,Single,53,48.71,Media,0,0
Sam Smith,Electrónica,111,182,5,0,1,0,0,,2017-12-19,2017,12,1,Invierno,Single,63,56.68,Media,1,0
Blackpink,Reggaeton,105,185,10,1,1,0,0,,2017-12-21,2017,12,3,Invierno,Single,64,64.83,Media,1,0
Cardi B,Lofi,127,144,6,0,0,1,0,,2017-12-21,2017,12,3,Invierno,Single,39,46.73,Media,0,0
Taylor Swift,Country,123,152,6,0,0,1,1,David Guetta,2017-12-21,2017,12,3,Invierno,Album,69,68.36,Media,1,0
Selena Gomez,Metal,127,258,2,1,0,1,0,,2017-12-23,2017,12,5,Invierno,Album,25,53.4,Media,1,0
Bruno Mars,Tropical,92,276,10,1,0,1,0,,2017-12-24,2017,12,6,Invierno,Single,46,51.42,Media,1,0
Halsey,Synthwave,91,209,6,0,0,1,1,Bruno Mars,2017-12-24,2017,12,6,Invierno,Album,59,65.94,Media,1,0
Kanye West,Lofi,100,141,0,0,0,1,0,,2017-12-26,2017,12,1,Invierno,Single,74,72.3,Alta,1,1
Lewis Capaldi,Pop Latino,114,231,10,0,0,1,0,,2017-12-27,2017,12,2,Invierno,Single,35,38.25,Media,0,0
Ed Sheeran,Punk,162,207,9,1,0,1,0,,2017-12-28,2017,12,3,Invierno,Album,77,45.76,Media,0,0
Demi Lovato,Techno,154,200,8,1,0,1,0,,2017-12-30,2017,12,5,Invierno,Single,41,52.3,Media,1,0
Farruko,Funk,125,193,7,0,0,1,0,,2017-12-30,2017,12,5,Invierno,Single,60,50.66,Media,1,0
Maroon 5,Reggaeton,74,158,3,1,0,1,0,,2017-12-31,2017,12,6,Invierno,Single,71,65.79,Media,1,0
Camila Cabello,Country,98,209,4,0,0,1,0,,2018-01-01,2018,1,0,Invierno,Single,79,100.0,Alta,1,1
Don Omar,Disco,165,173,2,0,0,1,0,,2018-01-02,2018,1,1,Invierno,Album,61,44.53,Media,0,0
Justin Bieber,Blues,122,259,7,1,0,1,0,,2018-01-03,2018,1,2,Invierno,Single,45,41.22,Media,0,0
The Weeknd,Techno,156,135,5,0,0,1,0,,2018-01-05,2018,1,4,Invierno,Album,51,27.36,Baja,0,0
DaBaby,Experimental,77,178,0,0,0,1,0,,2018-01-06,2018,1,5,Invierno,Single,82,42.3,Media,0,0
Charlie Puth,Drill,74,186,1,0,1,0,0,,2018-01-07,2018,1,6,Invierno,Single,34,32.36,Media,0,0
Selena Gomez,Metal,168,239,2,1,0,1,0,,2018-01-07,2018,1,6,Invierno,Album,59,56.84,Media,1,0
The Kid LAROI,Jazz,87,249,4,0,0,1,1,Miley Cyrus,2018-01-10,2018,1,2,Invierno,Single,55,35.62,Media,0,0
Myke Towers,Funk,126,273,11,0,0,1,0,,2018-01-13,2018,1,5,Invierno,Album,55,34.04,Media,0,0
Olivia Rodrigo,Reggaeton,99,175,2,1,0,1,0,,2018-01-13,2018,1,5,Invierno,Single,39,38.21,Media,0,0
Post Malone,Clásica,126,152,10,1,0,1,1,Doja Cat,2018-01-13,2018,1,5,Invierno,Single,31,35.11,Media,0,0
Bad Bunny,Reggaeton,99,218,8,0,0,1,1,Martin Garrix,2018-01-17,2018,1,2,Invierno,Album,78,61.92,Media,1,0
Blackpink,Reggaeton,89,258,10,1,0,1,1,Feid,2018-01-17,2018,1,2,Invierno,Album,87,72.78,Alta,1,0
Harry Styles,Funk,95,165,3,0,0,1,0,,2018-01-17,2018,1,2,Invierno,Album,69,39.95,Media,0,0
Sam Smith,Funk,113,150,7,0,0,1,0,,2018-01-17,2018,1,2,Invierno,Album,70,51.6,Media,1,0
Miley Cyrus,Drill,121,179,1,0,0,1,1,Imagine Dragons,2018-01-18,2018,1,3,Invierno,Album,67,57.78,Media,1,0
Tini,Reggaeton,106,236,7,1,0,1,0,,2018-01-19,2018,1,4,Invierno,Album,87,52.01,Media,1,0
Charlie Puth,Drill,108,258,2,1,0,1,1,Travis Scott,2018-01-20,2018,1,5,Invierno,Album,32,41.51,Media,0,0
Rosalía,K-Pop,124,188,5,0,0,1,1,Tini,2018-01-21,2018,1,6,Invierno,Single,64,70.51,Alta,1,0
Maluma,Indie,89,169,10,0,0,1,0,,2018-01-26,2018,1,4,Invierno,Single,86,46.32,Media,0,0
Coldplay,Trap,87,254,0,1,0,1,0,,2018-01-27,2018,1,5,Invierno,Album,53,52.79,Media,1,0
Juice WRLD,Urbano,97,210,8,0,0,1,1,Jhayco,2018-01-27,2018,1,5,Invierno,Single,32,37.02,Media,0,0
Calvin Harris,Metal,121,184,6,0,0,1,1,Maluma,2018-01-30,2018,1,1,Invierno,Single,83,55.46,Media,1,0
Martin Garrix,Drill,126,159,10,0,0,1,0,,2018-02-01,2018,2,3,Invierno,Single,68,100.0,Alta,1,1
Rauw Alejandro,R&B,117,200,10,0,0,1,1,Jack Harlow,2018-02-02,2018,2,4,Invierno,Single,78,100.0,Alta,1,1
Daddy Yankee,Indie,132,224,0,1,0,1,0,,2018-02-03,2018,2,5,Invierno,Single,81,50.68,Media,1,0
Zara Larsson,R&B,104,239,10,1,0,1,0,,2018-02-07,2018,2,2,Invierno,Album,33,37.55,Media,0,0
Beyoncé,Pop Latino,121,151,2,0,0,1,0,,2018-02-08,2018,2,3,Invierno,Album,75,59.62,Media,1,0
Dua Lipa,Reggaeton,96,223,9,1,0,1,1,Maroon 5,2018-02-13,2018,2,1,Invierno,Single,63,71.76,Alta,1,0
Anuel AA,Jazz,88,223,8,0,0,1,1,Wisin & Yandel,2018-02-14,2018,2,2,Invierno,Single,54,72.17,Alta,1,1
DaBaby,Hip Hop,85,226,3,0,0,1,0,,2018-02-14,2018,2,2,Invierno,Single,48,35.63,Media,0,0
Shawn Mendes,Rock,101,258,7,0,0,1,0,,2018-02-16,2018,2,4,Invierno,Single,41,30.56,Media,0,0
Charlie Puth,Latino,118,264,5,1,0,1,0,,2018-02-22,2018,2,3,Invierno,Single,62,44.79,Media,0,0
Coldplay,Trap,114,215,9,0,0,1,0,,2018-02-22,2018,2,3,Invierno,Single,42,51.62,Media,1,0
Manuel Turizo,Flamenco,114,276,0,0,0,1,0,,2018-02-22,2018,2,3,Invierno,Album,66,71.98,Alta,1,1
Ariana Grande,Experimental,103,229,1,0,0,1,0,,2018-02-24,2018,2,5,Invierno,Single,68,38.95,Media,0,0
Dua Lipa,Reggaeton,91,231,7,1,0,1,0,,2018-02-24,2018,2,5,Invierno,Single,43,54.95,Media,1,0
Feid,Trap,90,204,1,1,0,1,1,Nicky Jam,2018-02-24,2018,2,5,Invierno,Album,43,30.17,Media,0,0
Nicki Minaj,Electrónica,155,185,1,1,0,1,1,Paulo Londra,2018-02-24,2018,2,5,Invierno,Single,31,37.23,Media,0,0
Daddy Yankee,Pop,119,132,4,1,0,1,0,,2018-02-25,2018,2,6,Invierno,Album,35,41.24,Media,0,0
Kendrick Lamar,Metal,130,183,2,0,0,1,0,,2018-02-26,2018,2,0,Invierno,Single,92,55.22,Media,1,0
Billie Eilish,Dance,115,230,11,1,0,1,0,,2018-02-28,2018,2,2,Invierno,Single,76,51.3,Media,1,0
Lady Gaga,Rock,170,172,9,0,0,1,1,Manuel Turizo,2018-02-28,2018,2,2,Invierno,Single,64,48.59,Media,0,0
Migos,Folk,120,215,6,0,0,1,0,,2018-03-04,2018,3,6,Primavera,Single,31,40.59,Media,0,0
Sebastian Yatra,Folk,94,204,7,1,0,1,0,,2018-03-04,2018,3,6,Primavera,Single,59,100.0,Alta,1,1
Travis Scott,R&B,87,223,11,1,0,1,1,Katy Perry,2018-03-05,2018,3,0,Primavera,Single,30,47.1,Media,0,0
David Guetta,Country,109,199,6,0,0,1,1,Beyoncé,2018-03-06,2018,3,1,Primavera,Single,62,70.78,Alta,1,0
Young Thug,Alternativo,124,141,10,0,0,1,0,,2018-03-06,2018,3,1,Primavera,Single,37,42.78,Media,0,0
Halsey,Synthwave,89,191,8,0,0,1,0,,2018-03-07,2018,3,2,Primavera,Album,73,70.34,Alta,1,0
Imagine Dragons,Electrónica,124,240,11,1,1,0,0,,2018-03-09,2018,3,4,Primavera,Album,53,36.74,Media,0,0
Jhayco,Electrónica,132,214,2,0,0,1,0,,2018-03-09,2018,3,4,Primavera,Album,34,35.86,Media,0,0
Rauw Alejandro,Indie,115,242,10,1,0,1,0,,2018-03-11,2018,3,6,Primavera,Single,40,63.19,Media,1,0
J Balvin,Rock,125,215,5,1,0,1,1,Shawn Mendes,2018-03-13,2018,3,1,Primavera,Single,42,38.17,Media,0,0
Wisin & Yandel,Jazz,95,240,2,1,0,1,0,,2018-03-14,2018,3,2,Primavera,Single,46,46.46,Media,0,0
SZA,Electrónica,105,189,0,1,0,1,1,BTS,2018-03-16,2018,3,4,Primavera,Single,75,53.82,Media,1,0
Lewis Capaldi,Latino,112,202,1,0,0,1,1,Charlie Puth,2018-03-20,2018,3,1,Primavera,Single,73,69.49,Media,1,0
Anuel AA,Jazz,73,149,7,1,0,1,1,Feid,2018-03-23,2018,3,4,Primavera,Single,43,44.69,Media,0,0
Charlie Puth,Drill,137,248,10,1,1,0,0,,2018-03-23,2018,3,4,Primavera,Album,53,50.56,Media,1,0
Drake,Disco,106,209,2,0,0,1,1,Rosalía,2018-03-23,2018,3,4,Primavera,Single,55,62.72,Media,1,0
Paulo Londra,Country,121,150,2,1,1,0,0,,2018-03-23,2018,3,4,Primavera,Album,32,39.58,Media,0,0
Lil Uzi Vert,Drill,107,228,2,1,1,0,1,Miley Cyrus,2018-03-24,2018,3,5,Primavera,Single,34,55.51,Media,1,0
Coldplay,Lofi,112,260,6,0,1,0,1,Drake,2018-03-25,2018,3,6,Primavera,Album,61,63.83,Media,1,0
Calvin Harris,Pop,101,151,4,0,1,0,0,,2018-03-26,2018,3,0,Primavera,Album,86,75.14,Alta,1,0
Megan Thee Stallion,House,159,185,6,1,0,1,0,,2018-03-26,2018,3,0,Primavera,Single,36,100.0,Alta,1,1
Billie Eilish,Country,87,222,8,0,0,1,0,,2018-03-29,2018,3,3,Primavera,Single,38,65.44,Media,1,1
Shakira,Blues,92,216,0,0,0,1,0,,2018-03-29,2018,3,3,Primavera,Single,91,73.2,Alta,1,0
Jack Harlow,R&B,78,143,3,0,0,1,0,,2018-03-30,2018,3,4,Primavera,Album,36,64.56,Media,1,0
Karol G,Flamenco,129,174,6,1,0,1,0,,2018-03-30,2018,3,4,Primavera,Album,68,54.64,Media,1,0
Daddy Yankee,Indie,121,176,2,0,0,1,0,,2018-03-31,2018,3,5,Primavera,Single,60,53.47,Media,1,0
Nicky Jam,Rock,134,254,4,0,0,1,0,,2018-04-02,2018,4,0,Primavera,Single,80,49.93,Media,0,0
Sam Smith,Disco,134,155,5,0,0,1,0,,2018-04-02,2018,4,0,Primavera,Album,36,51.45,Media,1,0
Nicki Minaj,Electrónica,131,186,9,1,1,0,1,SZA,2018-04-05,2018,4,3,Primavera,Single,52,52.91,Media,1,0
Alan Walker,Trap,140,228,6,1,0,1,0,,2018-04-06,2018,4,4,Primavera,Album,31,44.75,Media,0,0
Lil Uzi Vert,Indie,93,230,10,0,0,1,0,,2018-04-06,2018,4,4,Primavera,Single,85,55.19,Media,1,0
Lil Baby,Reggaeton,98,210,8,0,0,1,0,,2018-04-10,2018,4,1,Primavera,Single,48,64.0,Media,1,0
Peso Pluma,House,108,228,9,1,0,1,0,,2018-04-10,2018,4,1,Primavera,Album,40,32.56,Media,0,0
Maluma,Reggaeton,116,220,10,0,0,1,0,,2018-04-11,2018,4,2,Primavera,Single,37,35.83,Media,0,0
Kanye West,Hip Hop,122,149,9,0,0,1,0,,2018-04-13,2018,4,4,Primavera,Album,49,36.83,Media,0,0
Rosalía,K-Pop,114,236,1,1,0,1,0,,2018-04-13,2018,4,4,Primavera,Album,42,47.98,Media,0,0
Lil Nas X,Blues,112,236,3,1,0,1,1,Post Malone,2018-04-14,2018,4,5,Primavera,Single,44,51.59,Media,1,0
Post Malone,Pop Latino,120,196,10,1,1,0,1,Don Omar,2018-04-15,2018,4,6,Primavera,Single,71,64.96,Media,1,0
DaBaby,Synthwave,108,172,8,1,1,0,0,,2018-04-19,2018,4,3,Primavera,Single,47,37.8,Media,0,0
Blackpink,Reggaeton,103,196,4,0,0,1,0,,2018-04-23,2018,4,0,Primavera,Single,40,52.3,Media,1,0
Dua Lipa,Reggaeton,93,138,7,0,0,1,0,,2018-04-24,2018,4,1,Primavera,Album,86,83.66,Alta,1,0
Adele,Tropical,110,194,0,0,0,1,0,,2018-04-25,2018,4,2,Primavera,Single,59,47.67,Media,0,0
Maluma,Pop,114,205,3,1,0,1,1,Travis Scott,2018-04-28,2018,4,5,Primavera,Single,50,42.62,Media,0,0
Olivia Rodrigo,Reggaeton,97,203,9,1,0,1,0,,2018-04-28,2018,4,5,Primavera,Single,61,55.12,Media,1,0
Taylor Swift,Flamenco,121,269,5,1,0,1,0,,2018-04-28,2018,4,5,Primavera,Single,85,64.52,Media,1,0
BTS,Punk,88,287,6,1,0,1,0,,2018-05-03,2018,5,3,Primavera,Single,58,45.25,Media,0,0
Migos,Folk,116,205,7,0,0,1,0,,2018-05-03,2018,5,3,Primavera,Single,61,58.88,Media,1,0
Rihanna,Trap,135,195,2,1,0,1,0,,2018-05-03,2018,5,3,Primavera,Single,89,44.11,Media,0,0
Anitta,Punk,163,270,8,0,0,1,1,Lil Uzi Vert,2018-05-04,2018,5,4,Primavera,Album,54,59.77,Media,1,0
Doja Cat,Flamenco,92,235,1,0,1,0,0,,2018-05-05,2018,5,5,Primavera,Single,61,46.44,Media,0,0
Tini,K-Pop,100,222,5,0,0,1,1,Bad Bunny,2018-05-07,2018,5,0,Primavera,Album,50,56.2,Media,1,0
Farruko,Funk,124,216,9,1,0,1,1,Megan Thee Stallion,2018-05-08,2018,5,1,Primavera,Single,46,65.96,Media,1,0
Beyoncé,Clásica,159,165,7,1,0,1,0,,2018-05-10,2018,5,3,Primavera,Single,70,66.23,Media,1,0
Demi Lovato,Techno,151,225,8,0,0,1,0,,2018-05-10,2018,5,3,Primavera,Single,84,72.69,Alta,1,0
María Becerra,Latino,97,185,8,1,0,1,1,Lil Uzi Vert,2018-05-10,2018,5,3,Primavera,Album,73,74.66,Alta,1,0
Don Omar,Punk,138,190,6,0,0,1,0,,2018-05-15,2018,5,1,Primavera,Album,33,38.34,Media,0,0
Alan Walker,Trap,83,225,6,0,0,1,1,Rihanna,2018-05-16,2018,5,2,Primavera,Album,85,74.09,Alta,1,0
Ed Sheeran,Flamenco,118,186,7,0,0,1,1,Travis Scott,2018-05-16,2018,5,2,Primavera,Album,90,61.29,Media,1,0
Kanye West,Lofi,93,178,9,0,1,0,1,Farruko,2018-05-16,2018,5,2,Primavera,Single,83,51.93,Media,1,0
Lady Gaga,Rock,163,181,8,1,0,1,0,,2018-05-16,2018,5,2,Primavera,Album,43,32.43,Media,0,0
Jhayco,Folk,155,201,4,0,1,0,0,,2018-05-17,2018,5,3,Primavera,Single,73,50.03,Media,1,0
Rosalía,Disco,111,228,5,0,0,1,0,,2018-05-17,2018,5,3,Primavera,Single,83,62.72,Media,1,0
Imagine Dragons,Electrónica,135,252,9,1,1,0,0,,2018-05-21,2018,5,0,Primavera,Single,87,79.99,Alta,1,1
Ozuna,Urbano,100,189,8,1,0,1,0,,2018-05-24,2018,5,3,Primavera,Single,67,52.93,Media,1,0
Adele,Tropical,126,179,0,1,0,1,0,,2018-05-27,2018,5,6,Primavera,Single,75,55.33,Media,1,0
BTS,Clásica,81,266,4,0,0,1,0,,2018-05-27,2018,5,6,Primavera,Single,54,40.44,Media,0,0
Don Omar,Punk,116,175,6,1,0,1,0,,2018-06-02,2018,6,5,Verano,Album,51,66.4,Media,1,0
Myke Towers,Flamenco,102,168,2,1,0,1,0,,2018-06-02,2018,6,5,Verano,Album,62,50.09,Media,1,0
Demi Lovato,Indie,121,216,0,1,0,1,0,,2018-06-07,2018,6,3,Verano,Single,68,64.82,Media,1,0
Zara Larsson,R&B,95,190,6,1,0,1,0,,2018-06-07,2018,6,3,Verano,Album,52,64.59,Media,1,0
Alan Walker,Trap,90,213,8,0,0,1,0,,2018-06-08,2018,6,4,Verano,Single,45,57.31,Media,1,0
Cardi B,Lofi,97,168,2,0,0,1,1,Katy Perry,2018-06-08,2018,6,4,Verano,Single,66,83.95,Alta,1,0
Drake,Disco,94,255,1,0,0,1,0,,2018-06-09,2018,6,5,Verano,Single,33,43.96,Media,0,0
Adele,Tropical,109,178,0,0,0,1,0,,2018-06-10,2018,6,6,Verano,Album,57,59.74,Media,1,0
Camila Cabello,Country,125,204,7,0,0,1,0,,2018-06-11,2018,6,0,Verano,Album,45,56.34,Media,1,0
Halsey,Synthwave,105,162,6,0,0,1,0,,2018-06-11,2018,6,0,Verano,Single,62,100.0,Alta,1,1
Lady Gaga,Rock,152,170,11,0,0,1,1,The Kid LAROI,2018-06-13,2018,6,2,Verano,Single,90,71.93,Alta,1,0
Bruno Mars,Urbano,93,257,0,1,0,1,1,Lil Uzi Vert,2018-06-17,2018,6,6,Verano,Single,53,73.17,Alta,1,0
Selena Gomez,Electrónica,176,198,7,0,1,0,0,,2018-06-18,2018,6,0,Verano,Single,39,76.54,Alta,1,0
Feid,Trap,108,234,3,0,0,1,0,,2018-06-21,2018,6,3,Verano,Single,47,48.11,Media,0,0
J Balvin,Rock,122,205,1,1,0,1,0,,2018-06-24,2018,6,6,Verano,Single,65,52.07,Media,1,0
Blackpink,Reggaeton,95,181,5,0,1,0,0,,2018-06-26,2018,6,1,Verano,Single,84,100.0,Alta,1,1
Kendrick Lamar,Metal,166,203,7,0,0,1,0,,2018-06-26,2018,6,1,Verano,Single,35,88.21,Alta,1,1
Nicky Jam,Techno,142,184,4,1,0,1,0,,2018-06-27,2018,6,2,Verano,Album,84,66.75,Media,1,0
Twenty One Pilots,Jazz,100,238,3,1,0,1,0,,2018-07-01,2018,7,6,Verano,Single,70,73.01,Alta,1,0
Bad Bunny,Pop,102,192,3,1,0,1,1,Zara Larsson,2018-07-02,2018,7,0,Verano,Single,38,100.0,Alta,1,1
Taylor Swift,Rock,113,183,11,1,0,1,0,,2018-07-02,2018,7,0,Verano,Single,53,73.14,Alta,1,0
Calvin Harris,Pop,103,180,10,1,0,1,1,Zara Larsson,2018-07-04,2018,7,2,Verano,Single,51,87.64,Alta,1,0
Juice WRLD,Urbano,91,219,4,0,0,1,1,Charlie Puth,2018-07-05,2018,7,3,Verano,Single,41,72.95,Alta,1,0
Demi Lovato,Techno,129,194,8,0,0,1,0,,2018-07-06,2018,7,4,Verano,Single,50,57.27,Media,1,0
